procedure_code,long_description,short_description,procedure_code_key,gold_run_id,gold_processed_timestamp
HT,Multi-disciplinary team,Multi-disciplinary team,e4ebeb2baaed60915a0c4d99048bd8d5b5a2aba870e3f2c9d5eaaf1442364ffe,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
J5,Off-the-shelf orthotic subject to dmepos competitive bidding program that is furnished as part of a physical therapist or occupational therapist professional service,Dmepos comp bid fur by pt/ot,085aa91a4e430696e8f9aff5d74f485fa18b0f873a6fb4ac95f55cc7a75dd1ec,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
KB,"Beneficiary requested upgrade for abn, more than 4 modifiers identified on claim",>4 modifiers on claim,59281a6b29351cfa2ea93986fe7aa7b8ad2134326a1bd9fb3feb32d62e42d0ea,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
PI,Positron emission tomography (pet) or pet/computed tomography (ct) to inform the initial treatment strategy of tumors that are biopsy proven or strongly suspected of being cancerous based on other diagnostic testing,Pet tumor init tx strat,7c06efd88710f54f8e1f2291df7ac958b06eb53612e024148d0ed5c867308f35,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
QE,Prescribed amount of stationary oxygen while at rest is less than 1 liter per minute (lpm),Stationary o2 @ rest <1 lpm,c1b257c4342a599f961df33be60a4401a8769da3db2a8c7af55a34b1844d2452,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
QQ,Ordering professional consulted a qualified clinical decision support mechanism for this service and the related data was provided to the furnishing professional,Qualified cdsm consulted,2f04a3aa051f1f60d695f6c44c0c3d383973dfd446ace8962664a76bb10e31a8,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
QY,Medical direction of one certified registered nurse anesthetist (crna) by an anesthesiologist,Medically directed crna,7a599ff1052e7c7fe7574b55c9aa53275c6c467ad14579dc8f2ca9fc628643fa,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
X5,"Diagnostic services requested by another clinician: for reporting services by a clinician who furnishes care to the patient only as requested by another clinician or subsequent and related services requested by another clinician; this modifier is reported for patient relationships that may not be adequately captured by the above alternative categories; reporting clinician service examples include but are not limited to, the radiologist's interpretation of an imaging study requested by another clinician",Svc req by another clinician,06b4fefb71ddc9ce82cd6dc51f8a4c545a168b144199656e6e2cc0fa572c7d20,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
XU,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service",Unusual separate service,d79fc7028d14f05cea4502e0226ac8b0ebde854e8730420ec087aae731ffce5c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Als defibrillation supplies,5a8a73512344053543b53bdd8ed7b9fe96ed309911eb7b1b82015cd6c5461a53,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4208,"Syringe with needle, sterile 3 cc, each",3 cc sterile syringe&needle,d4205d2237d9e9cfd3c0cc973df5c0b0d319796dd58a44b22ff9bd6a9bfb9122,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4222,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)",Infusion supplies with pump,8e968aa93dad88c0428488a24bb291fd6eb594d50a21376db7258af16fb6a128,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4256,"Normal, low and high calibrator solution / chips",Calibrator solution/chips,2b809f2f05801475953ba9babae0262d6bfa02b9a2866f6ea78c8e5bdcf94bf6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4259,"Lancets, per box of 100",Lancets per box,63ea0601d04f95d64a283a27d5e670b92c40c158989bb5bdf422de4d91f863dc,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4349,"Male external catheter, with or without adhesive, disposable, each",Disposable male external cat,87ad2aa5d7ec0ee86160e333b29ea9f4b5363a9a83d3f53c22ec7a80f11e77e7,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4360,"Disposable external urethral clamp or compression device, with pad and/or pouch, each",Disposable ext urethral dev,5feb642813f9684eaa81ead72de13a6e87f46edc395e00a951cc33c635e8c367,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4373,"Ostomy skin barrier, with flange (solid, flexible or accordion), with built-in convexity, any size, each",Skin barrier with flange,29ac9d2ae09bd4f0907f0e44db1f2c30c549d18060dab5ddaadbcb6279e5ae28,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4381,"Ostomy pouch, urinary, for use on faceplate, plastic, each",Urinary plastic pouch w/o fp,2407e7e56ea48fd2e4e77a29bffa7f7a82bdc6ad44d43c8903b8e04d7f651b66,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",Drainable pch w ex wear barr,381dfa09a8d012c388b292cc9b4dba4042383876ecdc65412e4f8a09c3833a57,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4396,Ostomy belt with peristomal hernia support,Peristomal hernia supprt blt,257c38fa3614c326675b79e6597b6946d6f6f88f317e389e0a111db2254afa88,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4411,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each",Ost skn barr extnd =4sq,ac846c269a4a618d45a3f261503adcb0f0e69a5b1b80124201a03f376cb5ed2e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4421,Ostomy supply; miscellaneous,Ostomy supply misc,b78a9184bc03d1bf14258057ad63d0c3997a56b2718272dbd31204816d477ac6,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4463,"Surgical dressing holder, reusable, each",Surgical dress holder reuse,a53c2c7d13c1c00082bbc11ced1f48e9632454be4ccdb26af07f0dddf7385dce,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4600,"Sleeve for intermittent limb compression device, replacement only, each","Sleeve, inter limb comp dev",93ee5f9829565489f833fd710db26355aee122fd4949afd891c35b559cae9882,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4672,"Drainage extension line, sterile, for dialysis, each","Drainage ext line, dialysis",514360b7f010b8f27c67e316e5450e4ab7a478982da4dfa37c6969fb4c0f469e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",Dialys sol fld vol > 1999cc,a29b96fc92335691aa3a37bd6c4a93d6a871707e947a8b17a6831fc246f37916,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4750,"Blood tubing, arterial or venous, for hemodialysis, each",Art or venous blood tubing,f7720c467664131116f5e344aa0e53667501e47b033081bc462ba34fb1922c7b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A4860,"Disposable catheter tips for peritoneal dialysis, per 10",Disposable catheter tips,f4c1f6536f9e07dd122d16290c76c5ff8d8de6dbe1505f14f93935e7b77dbc4b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A5051,"Ostomy pouch, closed; with barrier attached (1 piece), each",Pouch clsd w barr attached,d2af473627216993f8168e9f0c08de12e992b493268fb65f8e6eae01002725d3,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A5055,Stoma cap,Stoma cap,f36e9e160191900715189d4a922a9c66cdf94e1f6bfc8a10da18b5aeee46a637,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A5063,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each",Drain ostomy pouch w/flange,f682ecf413ad3e9d19ec46ecd3b5f451d7aad7aae0fa7b98ce5e6af422cba430,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6010,"Collagen based wound filler, dry form, sterile, per gram of collagen",Collagen based wound filler,e5c709c77e1291d4d70c0bb61a0dfdf7c57dd89e337eac5a93ca70270483348d,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6197,"Alginate or other fiber gelling dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",Alginate drsg >16 <=48 sq in,daa469dbb7bee9d980157caf94a0ff58b2a9c0c46a726273a9caeea959b4fa77,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6218,"Gauze, non-impregnated, non-sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Non-sterile gauze > 48 sq in,e5b6e22673f46c9af14d46f3d1156f4b0f0eabe2bb34d00300c7d738b2edfe57,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6230,"Gauze, impregnated, water or normal saline, sterile, pad size more than 48 sq. in., without adhesive border, each dressing",Gauze > 48 sq in water/salne,13f763a04788937044886a08a6de95ea38bc44e025adf4f3b79602dcaa3a4091,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6242,"Hydrogel dressing, wound cover, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Hydrogel drg <=16 in w/o bdr,f162d4d56ba02751a919d2aa198b009795f636813791a358edc8ca5f6e75ec2c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A6443,"Conforming bandage, non-elastic, knitted/woven, non-sterile, width greater than or equal to three inches and less than five inches, per yard","Conform band n/s w>=3""<5""/yd",22cf30b3f1d9e3a61ed1d4db5a68aed86f8d468b862c7e38f868cff9eaf6a538,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A7000,"Canister, disposable, used with suction pump, each",Disposable canister for pump,ec978d4358e35c3145e93eb7570aef7ccf937db8b5d09855bd45ff1b2aa1ef9b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A7003,"Administration set, with small volume nonfiltered pneumatic nebulizer, disposable",Nebulizer administration set,1b1a4b84b9b5906addf312c84e2877956d117ba92e55ec176aaa4b814eb9630f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A7031,"Face mask interface, replacement for full face mask, each",Replacement facemask interfa,90a9f57d8598d9589eb8bd96538115799838532b24ecdc1e14cffe83fbae94ef,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A7520,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",Trach/laryn tube non-cuffed,b5f4404563c6795ade61c554fd7b2030cae5c6a0de4f3d76137d8caaf44e5a97,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A7525,"Tracheostomy mask, each",Tracheostomy mask,c46a88a398668fd8c3bd117217a6b3999e286397414bb33172e9359c43485872,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A8000,"Helmet, protective, soft, prefabricated, includes all components and accessories",Soft protect helmet prefab,de757e69e9a19b299af7a464148233da45c3add20647a181e7aa6f44deeda4fa,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9155,"Artificial saliva, 30 ml",Artificial saliva,3847acdc801aab9214681485d400ef451f17b7b962a3eff4739c23e60bde899a,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9532,"Iodine i-125 serum albumin, diagnostic, per 5 microcuries","I125 serum albumin, dx",4f2c84514f97f08e629986070bbc1c2e5d06fe9130236875bd1e65e21f844e66,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9563,"Sodium phosphate p-32, therapeutic, per millicurie",P32 na phosphate,7701bd111c77695599004506a472b69b37a176c334cffc23a9d9c341cdd7097f,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9567,"Technetium tc-99m pentetate, diagnostic, aerosol, per study dose, up to 75 millicuries",Technetium tc-99m aerosol,51ec88e1e92d53c447f1b58f93efb24f44158e81df91ca02a0dd36481f16fcf9,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9569,"Technetium tc-99m exametazime labeled autologous white blood cells, diagnostic, per study dose",Technetium tc-99m auto wbc,e7c07fc5987029ed395e8142ad80e31fb2b98f4be55a35fcf8bb4b94dadd9f79,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9580,"Sodium fluoride f-18, diagnostic, per study dose, up to 30 millicuries",Sodium fluoride f-18,9f6e3fe706e626a41f412b509ee2c2bcbfeb4e215f4629bbc6efc08c50f8da34,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9581,"Injection, gadoxetate disodium, 1 ml",Gadoxetate disodium inj,f96a1c7ccbf2a4a319e2151de3d015560f11ff0cad1dbea15a9e0dd1861fe487,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9589,"Instillation, hexaminolevulinate hydrochloride, 100 mg",Insti hexaminolevulinate hcl,d2ecf5d5a9c8fa92b656ad0f4e3a33a53a0421e05a2d2d4afeac5ec00c76dd11,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
A9590,"Iodine i-131, iobenguane, 1 millicurie",Iodine i-131 iobenguane 1mci,f236e61557ced4cbb7aa81d6621c94d77d6d0b2b11a7ff6abc6a55d03fb419ce,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each","Gastro/jejuno tube, low-pro",272556e1923ae7a56b3dc5b311180ffd95398f21d94419956d6a00677674ca9b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
B4162,"Enteral formula, for pediatrics, special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit",Ef ped specmetabolic inherit,44bcc57b194926c6ef18f5d1f2c1fc3777da4d67b2c0d7918e7e6879082c3eb7,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
B4220,"Parenteral nutrition supply kit; premix, per day",Parenteral supply kit premix,916b6109f190effb69d836cf930908cd4380feffbbe4846376b00adf2e78fc69,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1724,"Catheter, transluminal atherectomy, rotational","Cath, trans atherec,rotation",b18b4d988314a38eeeb6b44201f0b98778f0bafbe3e5391fa5c1e045ea4f569b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1778,"Lead, neurostimulator (implantable)","Lead, neurostimulator",99aa3132a5a853f64dd9944a3ca77089366a853aea6d7201526b93fcb0cfba29,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1781,Mesh (implantable),Mesh (implantable),9b2c9a983d3939144df8738fcf6420d537a4022affa7069cde8bd463e9afaf2c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1821,Interspinous process distraction device (implantable),Interspinous implant,a5c464f03dd57d5931154eef168d285f6803368328e54940423fc3275c56ecb0,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1824,"Generator, cardiac contractility modulation (implantable)","Generator, ccm, implant",cf8001b152ca1f98abd496284fac42f7cb914eecfcd14487cafc106d9963e905,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1830,Powered bone marrow biopsy needle,Power bone marrow bx needle,2dcf7260c1d0c69a6be55b4f74a02e9dffe5a9d4ff8091e6ecbf5afc8128ecc2,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1842,"Retinal prosthesis, includes all internal and external components; add-on to c1841","Retinal prosth, add-on",f4d0bd7d849f00cca5a3ba1355ba6cc37bbeac5d08f5488934a67070a635b719,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1875,"Stent, coated/covered, without delivery system","Stent, coated/cov w/o del sy",a0fae923330d0ee27724a161a032b8df7b0b6197f229ab19ddfd8d4709cfc58d,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C1882,"Cardioverter-defibrillator, other than single or dual chamber (implantable)","Aicd, other than sing/dual",1d0c6b0c060015cf4210fe211b07a47781165200371eec31e6057a792a0ea8fe,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C5274,"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)",Low cost skin substitute app,b1d8367882ae6962b1a44760334be777db029aa8180b7420593625539ff8de0d,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8902,"Magnetic resonance angiography without contrast followed by with contrast, abdomen","Mra w/o fol w/cont, abd",4b3d28efd0e75dc28f7e3039cca9ba9cc9582116227edeeb8d90bc456ce6f5ab,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8905,"Magnetic resonance imaging without contrast followed by with contrast, breast; unilateral","Mri w/o fol w/cont, brst, un",0fc4b6f5a41162b6f8b5f8af3877c3bdd97fc5873c57034002589590a49db9ed,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8909,"Magnetic resonance angiography with contrast, chest (excluding myocardium)","Mra w/cont, chest",043db9e8229145c52ef0b990198cad59eda39756a06f9c7828dbd646b4cda1b4,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8910,"Magnetic resonance angiography without contrast, chest (excluding myocardium)","Mra w/o cont, chest",40669e8519ead387d2323fc578f3d49c8ac7a7cb66dc2dbd04daa24dc0b8e7d9,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8911,"Magnetic resonance angiography without contrast followed by with contrast, chest (excluding myocardium)","Mra w/o fol w/cont, chest",8121a046dfd1c545714e9589b491479d5aa411d2e8bebc609b6b280d7b042475,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8912,"Magnetic resonance angiography with contrast, lower extremity","Mra w/cont, lwr ext",3f572e8eef93a94eda407c0d4b2837479ba4f08e9daf2b7d785aa6626f7a6b46,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C8928,"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report","Tte w or w/o fol w/con,stres",b644da41f478f28d15b9800744872db9cbffd17d9df87c11d9b0cf2dcb86faf8,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9029,"Injection, guselkumab, 1 mg","Injection, guselkumab",07604a0b82475bca5588efd1262514b2a563e9496f0d90b39a58c2699fd0ca84,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9030,"Injection, copanlisib, 1 mg",Inj copanlisib,7de7a8679dbfeef3eb2262dd6c5816ff92c0e21f50a74d75007ee62f1e2b92d7,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9039,"Injection, plazomicin, 5 mg","Injection, plazomicin",b79dd44e4f6cbb3a83efa1194e4764cd56bc76f91e24d4b1bf6bed71690ef5f4,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9054,"Injection, lefamulin (xenleta), 1 mg","Injection, lefamulin",dc62e5e9df5476166981ea08694dda9e7e9f0f517358bd9723f8a6ba64bd8045,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9061,"Injection, teprotumumab-trbw, 10 mg","Injection, teprotumumab-trbw",38b9a6253e155b23249ae20bcb8dcb679dcf7a3760a768ade3e5398ed284f47b,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9070,"Injection, tafasitamab-cxix, 2 mg","Injection, tafasitamab-cxix",49edd291ca220624e6fc42a1c958fac44be9ba38d9e80f84136eff6a58b6608e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9441,"Injection, ferric carboxymaltose, 1 mg","Inj, ferric carboxymaltose",c428ab5a2957df1b821b16915d765d7a26b9f0a3f3d38fcfd36b63a918e6d54e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9475,"Injection, necitumumab, 1 mg","Injection, necitumumab",6504fc36811a7860759ee89f40dd5334dede5dd7854a1c6e16358a0ce852b755,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9477,"Injection, elotuzumab, 1 mg","Injection, elotuzumab",b944d08c7d4b9886a82d6f7873f91a9da034af1d7e977d28d855dca0f46e61db,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9724,Endoscopic full-thickness plication of the stomach using endoscopic plication system (eps); includes endoscopy,Eps stomach plic,dc7fe1bff082c855ce7d5d384273c241a89af43d9c0a2c0efd903baca0bf5d6e,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9738,Adjunctive blue light cystoscopy with fluorescent imaging agent  (list separately in addition to code for primary procedure),Blue light cysto imag agent,7b644d2a35143860476b23e8620ab805e34db00564b022e54fc62f5da5fa3e6d,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9800,"Dermal injection procedure(s) for facial lipodystrophy syndrome (lds) and provision of radiesse or sculptra dermal filler, including all items and supplies",Dermal filler inj px/suppl,3c2b8cc35c509f65c0b88154222fd916e8e523db571b9f047d3b544698ca16bb,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
C9803,"Hospital outpatient clinic visit specimen collection for severe acute respiratory syndrome coronavirus  2 (sars-cov-2) (coronavirus disease [covid-19]), any specimen source",Hopd covid-19 spec collect,6273127cc1efbbe4c677e67b794caba7c4f0493619f5b381c44671755e064f3c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0167,"Pail or pan for use with commode chair, replacement only",Commode chair pail or pan,64b06671afd457e9211f37233b815614642755c7ca91549d7987e567f558c5d7,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0225,"Hydrocollator unit, includes pads",Hydrocollator unit,f8369c843ad136ee4c1f2be08c1e948dd7f65e66af0f1700523bd2532d931ddb,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0231,"Non-contact wound warming device (temperature control unit, ac adapter and power cord) for use with warming card and wound cover",Wound warming device,159c641ca7e31c48dbf6a198cb0d3a99728d55dda7d5f04f3c16cd7644e7456c,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0247,Transfer bench for tub or toilet with or without commode opening,Trans bench w/wo comm open,bc947c5412b7d8cad7aa0b6e1e061529f3036c6b44c3ea87b3339b3285fdf774,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0291,"Hospital bed, fixed height, without side rails, without mattress",Hosp bed fx ht w/o rail w/o,4874585aa725851e94ec9cd998fd044bd636414f47761d4429c852786c53fba1,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0329,"Hospital bed, pediatric, electric or semi-electric, 360 degree side enclosures, top of headboard, footboard and side rails up to 24 inches above the spring, includes mattress",Ped hospital bed semi/elect,436cae7c86a00b1eaf29ece53f7e62146cb84b8689c8d6cd7f01556957a7ff17,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
E0457,Chest shell (cuirass),Chest shell,ca0ac6fee376dbc2860c900dd6dbf67d130e84a7e3b237da7346bd8db361dc00,bd3476ef-ff8a-437c-882c-4e40747aaee7,2026-03-02 06:27:51.953166
